 , ,AQ01 -> AQ06,-0.17349,
 , ,AQ01 -> AS04,0.13896,
 , ,AQ02 -> AQ01,0.04617,
 , ,AQ03 -> AQ04,0.07325,
 , ,AQ04 -> AQ02,-0.08032,
 , ,AQ05 -> AQ08,0.00184,
 , ,AQ06 -> AQ05,-0.00892,
 , ,AQ07 -> AQ06,0.00664,
 , ,AQ07 -> AQ10,0.00479,
 , ,AQ08 -> AQ07,0.00051,
 , ,AQ09 -> AQ12,0.00055,
 , ,AQ10 -> AQ09,0.00025,
 , ,AQ11 -> AQ03,0.13620,
 , ,AQ11 -> AQ10,0.00117,
 , ,AQ12 -> AQ11,-0.00198,
 , ,AR01 -> AR02,-0.08596,
 , ,AR02 -> AR09,-0.12475,
 , ,AR03 -> AR04,-0.06767,
 , ,AR04 -> AR01,0.04497,
 , ,AR05 -> AR03,0.22627,
 , ,AR05 -> AR07,0.00540,
 , ,AR06 -> AR05,-0.02466,
 , ,AR07 -> AR08,0.01296,
 , ,AR08 -> AR06,0.00660,
 , ,AR09 -> AR10,0.25509,
 , ,AR10 -> AR16,-0.17518,
 , ,AR11 -> AR12,0.46266,
 , ,AR12 -> AR04,-0.36121,
 , ,AR13 -> AR17,-0.14712,
 , ,AR14 -> AR15,-0.50429,
 , ,AR15 -> AR16,-0.12554,
 , ,AR16 -> AR11,-0.01624,
 , ,AR16 -> AR13,0.09823,
 , ,AR17 -> AR18,-0.01581,
 , ,AR18 -> AR20,0.01195,
 , ,AR18 -> AS01,0.18624,
 , ,AR18 -> AT15,0.00833,
 , ,AR19 -> AR14,0.69588,
 , ,AR20 -> AP02,0.06555,
 , ,AR20 -> AR19,-0.01400,
 , ,AS01 -> AS02,-0.15894,
 , ,AS02 -> AS03,0.09076,
 , ,AS02 -> AU08,0.14657,
 , ,AS03 -> AQ02,-0.04266,
 , ,AS04 -> AR20,-0.24867,
 , ,AT01 -> AT04,-0.04623,
 , ,AT02 -> AT01,0.07118,
 , ,AT03 -> AR01,0.19051,
 , ,AT03 -> AT02,0.03866,
 , ,AT04 -> AT03,-0.06312,
 , ,AT09 -> AT10,0.05379,
 , ,AT10 -> AU01,-0.15183,
 , ,AT10 -> AV07,-0.01246,
 , ,AT11 -> AT10,0.09807,
 , ,AT11 -> AT12,0.10010,
 , ,AT12 -> AT02,-0.17399,
 , ,AT12 -> AT09,-0.05530,
 , ,AT13 -> AT11,0.12449,
 , ,AT13 -> AT15,0.01607,
 , ,AT14 -> AT13,-0.01072,
 , ,AT15 -> AT16,-0.00708,
 , ,AT16 -> AT14,0.00165,
 , ,AU01 -> AT11,0.05361,
 , ,AU01 -> AU02,-0.05864,
 , ,AU02 -> AU04,0.05920,
 , ,AU03 -> AS01,0.12088,
 , ,AU03 -> AU01,-0.00232,
 , ,AU04 -> AU03,0.00180,
 , ,AU05 -> AU06,0.01988,
 , ,AU06 -> AU08,-0.00882,
 , ,AU06 -> AU16,0.18601,
 , ,AU07 -> AU05,0.08793,
 , ,AU08 -> AU07,-0.09893,
 , ,AU09 -> AU12,0.00151,
 , ,AU10 -> AU09,-0.00974,
 , ,AU11 -> AU10,0.04070,
 , ,AU12 -> AU11,-0.03216,
 , ,AU13 -> AU14,0.23045,
 , ,AU14 -> AU10,-0.23072,
 , ,AU15 -> AU01,-0.07377,
 , ,AU15 -> AU13,-0.04463,
 , ,AU16 -> AU14,-0.04701,
 , ,AU16 -> AU15,-0.23228,
 , ,AV01 -> AV02,0.44554,
 , ,AV02 -> AV06,-1.00236,
 , ,AV02 -> AV12,-0.31784,
 , ,AV02 -> AW03,-0.56160,
 , ,AV03 -> AU13,-0.13997,
 , ,AV03 -> AV08,0.02875,
 , ,AV04 -> AV02,0.30912,
 , ,AV05 -> AV11,-0.06784,
 , ,AV06 -> AT09,0.57202,
 , ,AV06 -> AV01,0.55687,
 , ,AV07 -> AV05,0.09672,
 , ,AV08 -> AV13,0.02245,
 , ,AV09 -> AV03,-0.01450,
 , ,AV11 -> AV09,0.01554,
 , ,AV11 -> AV10,-0.01179,
 , ,AV11 -> AV15,0.03992,
 , ,AV12 -> AV04,0.00879,
 , ,AV13 -> AV12,-0.00928,
 , ,AV15 -> AV13,0.01142,
 , ,AW01 -> AW02,0.03149,
 , ,AW02 -> AW03,-0.04116,
 , ,AW02 -> AW08,0.00478,
 , ,AW03 -> AW04,0.04703,
 , ,AW04 -> AW01,-0.03734,
 , ,AW04 -> AX32,-0.14779,
 , ,AW05 -> AW06,-0.06775,
 , ,AW06 -> AW07,0.09660,
 , ,AW07 -> AW08,0.00691,
 , ,AW08 -> AV03,0.15601,
 , ,AW08 -> AW05,-0.03581,
 , ,AX01 -> DN26,-0.12692,
 , ,AX02 -> AA04,0.34387,
 , ,AX02 -> AX01,0.00049,
 , ,AX03 -> AX04,0.00374,
 , ,AX03 -> BE01,0.09943,
 , ,AX04 -> AX02,-0.00543,
 , ,AX05 -> AX06,0.00456,
 , ,AX06 -> AG06,0.23218,
 , ,AX06 -> AX03,-0.01050,
 , ,AX07 -> AX08,-0.00215,
 , ,AX08 -> AG04,0.00603,
 , ,AX08 -> AX05,0.00006,
 , ,AX09 -> AX10,-0.00455,
 , ,AX10 -> AI05,0.12202,
 , ,AX10 -> AX07,0.00713,
 , ,AX11 -> AX12,0.00395,
 , ,AX12 -> AI04,0.02767,
 , ,AX12 -> AX09,-0.00009,
 , ,AX13 -> AX14,-0.00712,
 , ,AX14 -> AX11,-0.00715,
 , ,AX15 -> AM04,-0.04031,
 , ,AX15 -> AX13,0.01042,
 , ,AX16 -> AX15,0.00038,
 , ,AX16 -> AX15,0.00050,
 , ,AX17 -> AM04,-0.05460,
 , ,AX17 -> AX16,-0.01451,
 , ,AX18 -> AX17,0.01115,
 , ,AX19 -> AX18,0.00016,
 , ,AX20 -> AX19,-0.00554,
 , ,AX21 -> AO03,0.48083,
 , ,AX21 -> AX20,0.00039,
 , ,AX22 -> AX21,0.00057,
 , ,AX23 -> AX24,-0.00299,
 , ,AX24 -> AR03,0.28522,
 , ,AX24 -> AX22,0.00401,
 , ,AX25 -> AX23,0.02037,
 , ,AX26 -> AX25,-0.01862,
 , ,AX27 -> AX28,0.00692,
 , ,AX28 -> AT04,0.13517,
 , ,AX28 -> AX26,0.00115,
 , ,AX29 -> AV01,0.20909,
 , ,AX30 -> AX27,0.00177,
 , ,AX30 -> AX29,0.01292,
 , ,AX31 -> AX34,0.00114,
 , ,AX32 -> AX30,-0.00517,
 , ,AX32 -> AX31,0.00059,
 , ,AX33 -> AX36,-0.00316,
 , ,AX34 -> AX33,0.00104,
 , ,AX35 -> AX38,-0.00064,
 , ,AX36 -> AX35,0.00570,
 , ,AX37 -> AX40,-0.00186,
 , ,AX38 -> AX37,-0.00114,
 , ,AX39 -> AX42,-0.00144,
 , ,AX40 -> AX39,-0.00219,
 , ,AX41 -> AX44,-0.00063,
 , ,AX42 -> AX41,0.00006,
 , ,AX43 -> AX46,-0.00048,
 , ,AX44 -> AX43,0.00749,
 , ,AX45 -> AX48,-0.00533,
 , ,AX46 -> AX45,0.00038,
 , ,AX47 -> N083,-0.41469,
 , ,AX48 -> AX47,-0.00040,
 , ,BA01 -> BA02,-0.11869,
 , ,BA01 -> BA04,-0.78163,
 , ,BA02 -> BF03,0.08562,
 , ,BA03 -> BE01,-0.47167,
 , ,BA04 -> BA03,-0.02044,
 , ,BB01 -> BB04,1.02931,
 , ,BB02 -> BB01,-0.37666,
 , ,BB02 -> BC03,-0.11613,
 , ,BB03 -> BE08,-1.11164,
 , ,BB04 -> BF01,-0.02892,
 , ,BC01 -> BC02,0.03577,
 , ,BC02 -> BG04,0.03654,
 , ,BC03 -> BC04,-0.02212,
 , ,BC04 -> BC01,0.70382,
 , ,BD01 -> BD04,0.59657,
 , ,BD02 -> BD01,0.03723,
 , ,BD03 -> BE25,-1.29460,
 , ,BD04 -> BG01,-0.01089,
 , ,BE01 -> BE02,-0.00259,
 , ,BE01 -> DM01,-0.42911,
 , ,BE02 -> BE03,-0.00634,
 , ,BE03 -> BE04,0.01580,
 , ,BE04 -> BE05,-0.00530,
 , ,BE05 -> BE06,-0.00554,
 , ,BE06 -> BE07,-0.00005,
 , ,BE07 -> AX09,-0.08991,
 , ,BE07 -> BE08,0.00660,
 , ,BE08 -> BE09,0.00216,
 , ,BE09 -> BE10,0.00109,
 , ,BE10 -> BE11,-0.00364,
 , ,BE11 -> BE12,0.00028,
 , ,BE12 -> BE13,-0.00249,
 , ,BE13 -> BE14,0.00969,
 , ,BE14 -> BE15,-0.00054,
 , ,BE15 -> BE16,0.00229,
 , ,BE16 -> BB02,0.60645,
 , ,BE16 -> BE17,-0.00867,
 , ,BE17 -> BE18,0.01877,
 , ,BE18 -> BE19,-0.02161,
 , ,BE19 -> BE20,0.00029,
 , ,BE20 -> BE21,-0.00117,
 , ,BE21 -> BE22,0.01585,
 , ,BE22 -> BE23,-0.01078,
 , ,BE23 -> AX23,-0.09357,
 , ,BE23 -> BE24,0.00878,
 , ,BE24 -> BE25,-0.00490,
 , ,BE25 -> BE26,-0.00080,
 , ,BE26 -> BE27,0.00605,
 , ,BE27 -> BE28,0.00177,
 , ,BE28 -> BE29,-0.00353,
 , ,BE29 -> BE30,-0.01167,
 , ,BE30 -> BE31,-0.01926,
 , ,BE31 -> AX29,-0.06730,
 , ,BE31 -> BD02,0.37883,
 , ,BE31 -> DM30,-0.41396,
 , ,BF01 -> BF04,0.04022,
 , ,BF02 -> BB03,-0.06631,
 , ,BF03 -> BF02,-0.06404,
 , ,BF04 -> BA01,-0.00218,
 , ,BG01 -> BG03,-0.04025,
 , ,BG02 -> BD03,-0.01835,
 , ,BG03 -> BC01,0.23706,
 , ,BG04 -> BG02,0.06393,
 , ,BH01 -> BH04,0.04514,
 , ,BH01 -> DJ17,-0.27693,
 , ,BH02 -> BH01,-0.28514,
 , ,BH03 -> BH02,0.14680,
 , ,BH04 -> BH03,0.09309,
 , ,BI01 -> BI02,-0.04125,
 , ,BI02 -> BI03,0.00109,
 , ,BI03 -> BI04,0.07404,
 , ,BI04 -> BI01,-0.03445,
 , ,BI04 -> DH02,-0.28739,
 , ,CA01 -> CA02,0.00128,
 , ,CA02 -> CA03,-0.00649,
 , ,CA03 -> CA04,0.00581,
 , ,CA04 -> CA01,-0.00107,
 , ,CA04 -> ST09,-0.18289,
 , ,CB01 -> CB04,-0.03498,
 , ,CB02 -> CB01,0.00033,
 , ,CB02 -> CC04,-0.06753,
 , ,CB02 -> DN23,-0.75087,
 , ,CB03 -> CA01,-0.53991,
 , ,CB03 -> CB05,-0.62633,
 , ,CB04 -> CB03,-0.01658,
 , ,CB05 -> CB02,0.67723,
 , ,CC01 -> CC03,0.02025,
 , ,CC02 -> CC01,-0.02030,
 , ,CC03 -> CB01,0.07135,
 , ,CC04 -> CC02,-0.00520,
 , ,CC04 -> CC03,-0.00484,
 , ,CD01 -> CD03,-0.00137,
 , ,CD02 -> CD04,-0.01358,
 , ,CD02 -> DJ04,-0.11836,
 , ,CD03 -> CD05,0.00262,
 , ,CD04 -> CD06,0.00442,
 , ,CD05 -> CD07,-0.00923,
 , ,CD06 -> CL01,0.00340,
 , ,CD07 -> CD09,0.00584,
 , ,CD08 -> CD10,-0.00289,
 , ,CD10 -> CD12,0.02075,
 , ,CD11 -> CD09,-0.03689,
 , ,CD12 -> CC02,-0.05342,
 , ,CD12 -> CD11,0.03014,
 , ,CDQ01 -> CO03,0.50883,
 , ,CE01 -> CE03,-0.00085,
 , ,CE02 -> CE01,0.00051,
 , ,CE03 -> CD01,-0.04098,
 , ,CE03 -> CE04,-0.00191,
 , ,CE04 -> CD02,-0.04156,
 , ,CE04 -> CE02,0.00172,
 , ,CE04 -> DAA06,-0.46640,
 , ,CF01 -> CDQ02,-0.63867,
 , ,CF01 -> CE02,0.01709,
 , ,CF02 -> CF01,0.27131,
 , ,CF03 -> CF04,-0.00664,
 , ,CF04 -> CF02,-0.27805,
 , ,CF04 -> CG03,-0.03286,
 , ,CF04 -> DJ02,-0.17017,
 , ,CG01 -> DK06,-0.59815,
 , ,CG02 -> CG04,0.00176,
 , ,CG03 -> CG01,-0.00678,
 , ,CG04 -> DK15,-0.56111,
 , ,CH01 -> CH02,-0.01703,
 , ,CH01 -> DN11,-0.71337,
 , ,CH02 -> DL07,-0.54187,
 , ,CH03 -> DN11,-0.71310,
 , ,CH04 -> CH02,0.00164,
 , ,CH04 -> CH03,0.01852,
 , ,CI01 -> CI02,-0.00041,
 , ,CI02 -> CI04,-0.00543,
 , ,CI04 -> BI02,-0.08737,
 , ,CJ01 -> DCD03,-0.39289,
 , ,CJ02 -> CJ04,-0.16911,
 , ,CJ03 -> CJ01,0.00622,
 , ,CJ04 -> CJ03,0.01755,
 , ,CK01 -> DGC03,-0.10202,
 , ,CK01 -> DH03,-0.09702,
 , ,CK02 -> CK01,-0.00049,
 , ,CK03 -> CK04,-0.00513,
 , ,CK04 -> CK02,0.00658,
 , ,CL01 -> CD08,-0.00438,
 , ,CL02 -> CL04,-0.00188,
 , ,CL03 -> CL01,-0.00502,
 , ,CL04 -> CL03,-0.00414,
 , ,CM01 -> CM02,0.00007,
 , ,CM02 -> CM03,0.00066,
 , ,CM02 -> CP04,0.06266,
 , ,CM03 -> CM04,0.00619,
 , ,CM03 -> DK03,-0.49855,
 , ,CM04 -> CM01,-0.00633,
 , ,CN01 -> CN04,-0.00397,
 , ,CN02 -> CN01,0.00770,
 , ,CN03 -> CN02,0.00432,
 , ,CN03 -> CN04,0.00875,
 , ,CN03 -> CP03,0.05610,
 , ,CN04 -> CO01,0.00328,
 , ,CO01 -> CO04,-0.00906,
 , ,CO02 -> CN03,-0.00485,
 , ,CO03 -> CO02,0.00478,
 , ,CO03 -> DAA01,-0.34949,
 , ,CO03 -> DAA01,-0.35044,
 , ,CO04 -> CO03,-0.00243,
 , ,CP03 -> CDQ01,-0.56465,
