C010        ,   5.25500
E053        ,   3.85725
E054        ,   3.91753
E055        ,   4.63088
V8          ,   4.45634
E057        ,   3.88928
E056        ,   4.60397
N091        ,   3.97953
N092        ,   3.98277
N093        ,   4.02308
ST5         ,   4.21221
N09         ,   4.61082
K10         ,   4.83610
K11         ,   4.83783
K12         ,   4.83661
K9          ,   4.83672
K8          ,   4.83488
K7          ,   4.83462
K15         ,   4.83491
K16         ,   4.83351
K17         ,   4.83498
K14         ,   4.83468
K6          ,   4.83342
K5          ,   4.83593
K4          ,   4.83454
K3          ,   4.83486
K2          ,   4.83600
K1          ,   4.83522
K20         ,   4.83736
K19         ,   4.83579
K18         ,   4.83561
K21         ,   4.84089
K22         ,   4.83989
K35         ,   4.84092
K34         ,   4.83942
K23         ,   4.83977
K24         ,   4.84127
K33         ,   4.84124
K32         ,   4.84213
K25         ,   4.84307
K26         ,   4.84111
K31         ,   4.84334
K30         ,   4.84195
K27         ,   4.84193
K28         ,   4.84175
K29         ,   4.84187
R4          ,   4.29366
R1          ,   4.32560
K13         ,   4.83500
R3          ,   4.32132
R6          ,   4.32182
K36         ,   4.84001
R5          ,   4.30236
R2          ,   4.30847
Y1          ,   5.17995
Y4          ,   5.23120
Y3          ,   5.18413
Y2          ,   5.18494
S4          ,   4.83814
S3          ,   4.83657
T1          ,   5.02382
T4          ,   4.60947
T3          ,   4.89396
T2          ,   5.01104
U3          ,   4.86768
U2          ,   4.87266
U1          ,   4.87345
U4          ,   4.86291
S2          ,   4.84192
G8          ,   4.86598
J6          ,   4.86031
H1          ,   5.34979
H2          ,   5.35025
G1          ,   4.87125
G2          ,   4.58718
G3          ,   4.56036
G4          ,   4.87777
G5          ,   4.87555
G6          ,   4.87156
G7          ,   4.86835
J5          ,   4.85824
G9          ,   4.86454
G10         ,   4.88769
G11         ,   4.87419
J4          ,   4.86433
G12         ,   4.88278
G13         ,   4.87655
G14         ,   4.87815
G15         ,   4.86574
G16         ,   4.87913
J3          ,   4.86420
G17         ,   4.87089
G18         ,   4.87064
G19         ,   4.87241
J2          ,   4.87780
G20         ,   4.87170
G21         ,   4.88955
G22         ,   4.86527
G23         ,   4.12252
J1          ,   4.86448
G25         ,   4.73573
J10         ,   4.86887
J9          ,   4.87771
J8          ,   4.87865
J7          ,   4.88844
AB2         ,   4.63798
AB1         ,   4.68795
AB5         ,   4.60408
AB4         ,   4.65696
AB3         ,   4.62282
AB6         ,   4.54731
AB8         ,   4.63886
AB7         ,   4.59234
G31         ,   4.53460
G30         ,   4.41679
G29         ,   4.45077
G28         ,   4.76311
G26         ,   4.87296
A2          ,   4.58597
A1          ,   4.68259
A5          ,   4.54093
A4          ,   4.52763
A3          ,   4.64239
A6          ,   4.60009
A8          ,   4.67954
A7          ,   4.56241
N06         ,   4.01350
KB9         ,   4.90758
KB7         ,   4.89882
S1          ,   4.83989
TB1         ,   4.80532
TB2         ,   4.82910
TB3         ,   4.64839
TB4         ,   4.86419
UB4         ,   4.85909
UB2         ,   4.83157
UB1         ,   4.81407
UB3         ,   4.82393
YB4         ,   5.18647
YB3         ,   5.19011
